id,domain,topic,difficulty,title,objective,adversarial_case,source_url,status
A001,Agentic AI,Agent loops,Easy,Finish a bounded support loop,Implement action/observation transitions and validated completion.,Malformed completion and a model that never terminates.,https://www.agenticprep.io/problems/react-loop-basic,authoring_brief
A002,Agentic AI,Tools,Easy,Dispatch only registered actions,Route a structured action to an allowlisted handler.,Unknown tool and malicious argument expression.,https://www.agenticprep.io/problems/react-loop-tool-routing,authoring_brief
A003,Agentic AI,Agent loops,Medium,Turn a tool failure into usable state,Translate tool exceptions into typed observations without losing progress.,Timeout followed by a successful independent action.,https://www.agenticprep.io/problems/react-loop-observation-recovery,authoring_brief
A004,Agentic AI,Agent loops,Easy,Stop before the seventh action,Enforce a six-action ceiling with an explicit terminal status.,No final response at the budget boundary.,https://www.agenticprep.io/problems/react-loop-budgeted-stop,authoring_brief
A005,Agentic AI,Memory,Medium,Compact state without losing the current task,Compress older observations and preserve active constraints.,Summary drops a required approval or unresolved question.,https://www.agenticprep.io/problems/react-loop-scratchpad-summary,authoring_brief
A006,Agentic AI,Tools,Easy,Publish a callable tool contract,Derive a JSON schema for a supported Python signature.,Unsupported annotation must fail clearly.,https://www.agenticprep.io/problems/tool-schema-json,authoring_brief
A007,Agentic AI,Tools,Easy,Separate missing and nullable parameters,Translate supported annotations and defaults into parameter metadata.,Optional value with no default versus default None.,https://www.agenticprep.io/problems/tool-schema-typing,authoring_brief
A008,Agentic AI,Tools,Medium,Reject invalid action arguments,"Validate shape, types, ranges and extra fields before dispatch.",Boolean accepted accidentally as an integer.,https://www.agenticprep.io/problems/tool-schema-validation,authoring_brief
A009,Agentic AI,Tools,Medium,Collect parallel results without losing identity,Preserve call IDs and deterministic presentation order.,Duplicate tool names with different call IDs and one failure.,https://www.agenticprep.io/problems/tool-batch-runner,authoring_brief
A010,Agentic AI,Tools,Medium,Give every observation a stable envelope,"Normalize strings, objects and errors into a typed result envelope.",Nested exception text contains a synthetic credential.,https://www.agenticprep.io/problems/tool-result-normalizer,authoring_brief
A011,Agentic AI,Memory,Medium,Fit recent turns around a pinned policy,Keep complete recent turns inside a context budget.,Pinned policy alone exceeds the budget.,https://www.agenticprep.io/problems/sliding-window-memory,authoring_brief
A012,Agentic AI,Memory,Medium,Carry unresolved work across compaction,Summarize removed turns while retaining provenance and open issues.,An unresolved issue exists only in the oldest turn.,https://www.agenticprep.io/problems/memory-summary-compression,authoring_brief
A013,Agentic AI,Memory,Medium,Reconcile customer facts by trust and recency,Resolve duplicate and conflicting records with explicit source rank.,A newer untrusted record contradicts a verified record.,https://www.agenticprep.io/problems/memory-deduplicate-facts,authoring_brief
A014,Agentic AI,Memory,Medium,Protect task constraints during eviction,Evict low-priority context without losing active obligations.,All remaining records are mandatory and cannot fit.,https://www.agenticprep.io/problems/memory-pin-important,authoring_brief
A015,Agentic AI,Retrieval,Medium,Choose useful evidence without repetition,Rerank candidates using relevance and source diversity.,Top results duplicate one paragraph and omit the answer.,https://www.agenticprep.io/problems/rag-rerank,authoring_brief
A016,Agentic AI,Retrieval,Medium,Keep an answer intact across chunk boundaries,Split documents with stable source offsets and controlled overlap.,The answer straddles two paragraphs at a size boundary.,https://www.agenticprep.io/problems/rag-chunk-splitter,authoring_brief
A017,Agentic AI,Retrieval,Medium,Attach a source to each evidence block,Build bounded context with stable citation IDs.,Repeated source names and a truncated chunk.,https://www.agenticprep.io/problems/rag-context-citations,authoring_brief
A018,Agentic AI,Retrieval,Easy,Abstain when evidence is too weak,Apply a published evidence threshold and empty-result policy.,No result reaches the threshold.,https://www.agenticprep.io/problems/rag-relevance-filter,authoring_brief
A019,Agentic AI,Evaluation,Easy,Normalize answers without accepting leakage,Apply documented normalization while rejecting internal artifacts.,Correct answer wrapped in a leaked tool transcript.,https://www.agenticprep.io/problems/eval-exact-match,authoring_brief
A020,Agentic AI,Evaluation,Medium,Score outcome and behavior separately,Compute rubric dimensions and retain failure reasons.,A correct answer follows an unauthorized action.,https://www.agenticprep.io/problems/eval-score-rubric,authoring_brief
A021,Agentic AI,Agent loops,Hard,Execute a dependent action plan,Resolve dependencies and carry typed outputs between steps.,A failed prerequisite blocks only its dependents.,https://www.agenticprep.io/problems/react-loop-multi-tool-plan,authoring_brief
A022,Agentic AI,Safety,Hard,Bind approval to an exact action,"Require approval for a specific action version, actor and expiry.",Arguments change after approval is granted.,https://www.agenticprep.io/problems/agent-human-approval-gate,authoring_brief
A023,Agentic AI,Operations,Medium,Choose a model within hard constraints,"Select from supplied cost, quality and latency metadata.",No candidate satisfies all constraints.,https://www.agenticprep.io/problems/agent-cost-latency-router,authoring_brief
A024,Agentic AI,Agent loops,Hard,Coordinate workers with one global budget,Schedule capable workers while honoring dependencies and quotas.,One worker consumes the budget needed by another.,https://www.agenticprep.io/problems/agent-supervisor-workflow,authoring_brief
A025,Agentic AI,Safety,Hard,Answer from evidence through a guarded workflow,"Combine authorized retrieval, bounded tools and supported answers.",A retrieved document tells the agent to reveal another tenant's data.,https://www.agenticprep.io/problems/agent-guarded-knowledge-workflow,authoring_brief
A026,Agentic AI,Agent loops,Hard,Integrate a deployable agent control loop,"Compose planning, state, permissions, execution and auditable results.",Cancellation arrives between approval and tool execution.,https://www.agenticprep.io/problems/agent-capstone-runtime,authoring_brief
A027,Agentic AI,Safety,Medium,Check action policy before execution,Enforce allowlists and explicit constraints outside the model.,Blocked request hidden in nested JSON; benign quoted attack text.,https://www.agenticprep.io/problems/guardrails-input-filter,authoring_brief
A028,Agentic AI,Observability,Medium,Record a redacted execution timeline,Create stable correlated events with durations and terminal status.,Secrets and unbounded payloads in error messages.,https://www.agenticprep.io/problems/agent-observer-logger,authoring_brief
A029,Agentic AI,Observability,Hard,Locate the first failing transition,"Detect repetition, invalid state and latency bottlenecks.",Later errors distract from an earlier broken prerequisite.,https://www.agenticprep.io/problems/agent-trace-diagnostics,authoring_brief
A030,Agentic AI,Tools,Hard,Retry a transient failure within a deadline,"Apply bounded exponential delay, jitter and a total deadline.",Next backoff would exceed the remaining deadline.,https://www.agenticprep.io/problems/tool-retry-backoff,authoring_brief
A031,Agentic AI,Tools,Hard,Switch tools only when policy permits,Classify failures and apply safe retry or fallback rules.,Authentication failure must not trigger a broader-privilege fallback.,https://www.agenticprep.io/problems/tool-retry-fallback-policy,authoring_brief
A032,Agentic AI,Tools,Medium,Build a source-preserving research workflow,"Compose search, extraction and synthesis with partial results.",Extraction succeeds for only one of three sources.,https://www.agenticprep.io/problems/tool-research-assistant-pipeline,authoring_brief
A033,Agentic AI,Memory,Hard,Retrieve memories with stable ranking,Select relevant authorized memories with deterministic ties.,Equally ranked records from different tenants.,https://www.agenticprep.io/problems/memory-retrieve-query,authoring_brief
A034,Agentic AI,Memory,Hard,Expire context without abandoning active work,Apply expiry rules and preserve live task dependencies.,A pinned but legally deleted record must not survive.,https://www.agenticprep.io/problems/memory-ttl-eviction,authoring_brief
A035,Agentic AI,Retrieval,Hard,Resolve a follow-up without changing intent,Rewrite an ambiguous query using authorized conversation context.,The prior turn refers to a different customer or product.,https://www.agenticprep.io/problems/rag-query-rewrite,authoring_brief
A036,Agentic AI,Retrieval,Hard,Deliver a grounded support answer end to end,"Rewrite, retrieve, cite and abstain with explicit evidence checks.",Conflicting policy versions and insufficient evidence.,https://www.agenticprep.io/problems/rag-support-agent-pipeline,authoring_brief
A037,Agentic AI,Retrieval,Hard,Fuse lexical and semantic rankings,Deduplicate and rank two result lists by a published fusion rule.,"Missing ranks, duplicate IDs and deterministic ties.",https://www.agenticprep.io/problems/rag-hybrid-merge,authoring_brief
A038,Agentic AI,Safety,Hard,Evaluate instruction-boundary failures,Build a labeled evaluator for attempted instruction overrides.,Quoted security training text versus an active override attempt.,https://www.agenticprep.io/problems/eval-prompt-injection,authoring_brief
A039,Agentic AI,Evaluation,Hard,Check trace invariants across valid paths,Evaluate required precedence and forbidden events rather than one exact path.,Two valid tool orders should both pass.,https://www.agenticprep.io/problems/eval-trajectory-trace,authoring_brief
